NS_SA_ID,NS_ETAB_ID,TE_STRUCTURE,CO_DEGRE_SPEC,CO_ANNEE_ETUDES,CO_OPTION,TE_INTITULE,DT_DEBUT,DT_FIN,DT_EXPIRATION,TE_STATUT,NS_PARAM_ID_SA,NS_OBJ_ID_DEGR_SPEC,NS_OBJ_ID_ANNEE_ETUDE,NS_OBJ_ID_SA,NS_PARAM_ID_STATUT
103,2044,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
104,2044,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
105,2044,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
107,2044,Option de base simple,1 D3 G,1 D3 5 G,3101,MATHEMATIQUE,2015-09-01,9999-12-31,,En cours,6023,56,121,1629,6030
109,2044,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
116,2044,Option de base groupée,1 D3 TQ,1 D3 5 TQ,7124,TECHNICIEN/TECHNICIENNE EN COMPTABILITE,2014-09-01,9999-12-31,,En cours,6022,58,132,891,6030
117,2044,Option de base groupée,1 D3 TQ,1 D3 5 TQ,8405,ANIMATEUR/ANIMATRICE,2015-09-01,9999-12-31,,En cours,6022,58,132,939,6030
119,2044,Option de base groupée,1 D3 TT,1 D3 5 TT,8404,SPORT-ETUDES,2014-09-01,9999-12-31,,En cours,6022,59,136,938,6030
122,139,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
123,139,Option de base simple,1 D2 G,1 D2 3 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,49,105,1822,6030
126,139,Option de base groupée,1 D2 TQ,1 D2 3 TQ,7110,GESTION,2014-09-01,9999-12-31,,En cours,6022,51,109,888,6030
127,139,Option de base groupée,1 D2 TQ,1 D2 3 TQ,7406,SECRETARIAT-TOURISME,2014-09-01,9999-12-31,,En cours,6022,51,109,901,6030
129,139,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
130,139,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
131,139,Option de base simple,1 D3 G,1 D3 5 G,2212,LANGUE MODERNE III ITALIEN,2014-09-01,9999-12-31,,En cours,6023,56,121,1597,6030
132,139,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
133,139,Option de base simple,1 D3 G,1 D3 5 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,56,121,1822,6030
134,139,Option de base simple,1 D3 G,1 D3 5 G,2664,SCIENCES SOCIALES,2014-09-01,9999-12-31,,En cours,6023,56,121,1831,6030
135,139,Option de base simple,1 D3 G,1 D3 5 G,3101,MATHEMATIQUE,2014-09-01,9999-12-31,,En cours,6023,56,121,1629,6030
136,139,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
138,139,Option de base groupée,1 D3 TQ,1 D3 5 TQ,7124,TECHNICIEN/TECHNICIENNE EN COMPTABILITE,2014-09-01,9999-12-31,,En cours,6022,58,132,891,6030
139,139,Option de base groupée,1 D3 TQ,1 D3 5 TQ,7404,AGENT/AGENTE  EN ACCUEIL ET TOURISME,2014-09-01,9999-12-31,,En cours,6022,58,132,899,6030
142,2460,Option de base simple,1 D2 G,1 D2 3 G,1453,EDUCATION TECHNIQUE ET TECHNOLOGIQUE,2014-09-01,9999-12-31,,En cours,6023,49,105,1314,6030
143,2460,Option de base simple,1 D2 G,1 D2 3 G,2119,LANGUE MODERNE II ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,49,105,1586,6030
144,2460,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
145,2460,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
146,2460,Option de base simple,1 D2 G,1 D2 3 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,49,105,1822,6030
147,2460,Option de base simple,1 D2 G,1 D2 3 G,2664,SCIENCES SOCIALES,2014-09-01,9999-12-31,,En cours,6023,49,105,1831,6030
148,2460,Option de base simple,1 D2 G,1 D2 3 G,2814,LATIN,2014-09-01,9999-12-31,,En cours,6023,49,105,1607,6030
150,2460,Option de base groupée,1 D2 TT,1 D2 3 TT,6303,AUDIOVISUEL,2014-09-01,9999-12-31,,En cours,6022,52,112,876,6030
153,2460,Option de base simple,1 D3 G,1 D3 5 G,1384,EDUCATION ARTISTIQUE : ARTS D'EXPRESSION,2015-09-01,9999-12-31,,En cours,6023,56,121,1271,6030
154,2460,Option de base simple,1 D3 G,1 D3 5 G,2006,LANGUE MODERNE I ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1582,6030
155,2460,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
156,2460,Option de base simple,1 D3 G,1 D3 5 G,2119,LANGUE MODERNE II ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1586,6030
157,2460,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
158,2460,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
159,2460,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
160,2460,Option de base simple,1 D3 G,1 D3 5 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,56,121,1822,6030
161,2460,Option de base simple,1 D3 G,1 D3 5 G,2664,SCIENCES SOCIALES,2014-09-01,9999-12-31,,En cours,6023,56,121,1831,6030
162,2460,Option de base simple,1 D3 G,1 D3 5 G,2814,LATIN,2014-09-01,9999-12-31,,En cours,6023,56,121,1607,6030
163,2460,Option de base simple,1 D3 G,1 D3 5 G,3101,MATHEMATIQUE,2014-09-01,9999-12-31,,En cours,6023,56,121,1629,6030
165,2460,Option de base simple,1 D3 G,1 D3 5 G,6101,SCIENCES,2014-09-01,9999-12-31,,En cours,6023,56,121,2493,6030
169,2460,Option de base groupée,1 D3 TT,1 D3 5 TT,6303,AUDIOVISUEL,2014-09-01,9999-12-31,,En cours,6022,59,136,876,6030
170,2460,Option de base groupée,1 D3 TT,1 D3 5 TT,9102,BIOTECHNIQUE,2014-09-01,9999-12-31,,En cours,6022,59,136,945,6030
173,3117,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
174,3117,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
178,3117,Option de base groupée,1 D2 P,1 D2 3 P,1202,HORTICULTURE ET MAINTENANCE DE MATERIEL,2014-09-01,9999-12-31,,En cours,6022,50,107,654,6030
184,3117,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
185,3117,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
186,3117,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
187,3117,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
188,3117,Option de base simple,1 D3 G,1 D3 5 G,2209,LANGUE MODERNE III ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1593,6030
189,3117,Option de base simple,1 D3 G,1 D3 5 G,2213,LANGUE MODERNE III ESPAGNOL,2014-09-01,9999-12-31,,En cours,6023,56,121,1596,6030
207,2159,Option de base simple,1 D2 G,1 D2 3 G,2119,LANGUE MODERNE II ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,49,105,1586,6030
208,2159,Option de base simple,1 D2 G,1 D2 3 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1587,6030
209,2159,Option de base simple,1 D2 G,1 D2 3 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,49,105,1591,6030
210,2159,Option de base simple,1 D2 G,1 D2 3 G,2652,SCIENCES ECONOMIQUES,2014-09-01,9999-12-31,,En cours,6023,49,105,1822,6030
211,2159,Option de base simple,1 D2 G,1 D2 3 G,2814,LATIN,2014-09-01,9999-12-31,,En cours,6023,49,105,1607,6030
215,2159,Option de base groupée,1 D2 P,1 D2 3 P,3102,BOIS,2014-09-01,9999-12-31,,En cours,6022,50,107,770,6030
219,2159,Option de base groupée,1 D2 P,1 D2 3 P,7118,VENTE,2015-09-01,9999-12-31,,En cours,6022,50,107,889,6030
222,2159,Option de base groupée,1 D2 TQ,1 D2 3 TQ,2301,ELECTROMECANIQUE,2014-09-01,9999-12-31,,En cours,6022,51,109,692,6030
223,2159,Option de base groupée,1 D2 TQ,1 D2 3 TQ,7110,GESTION,2014-09-01,9999-12-31,,En cours,6022,51,109,888,6030
224,2159,Option de base groupée,1 D2 TQ,1 D2 3 TQ,8120,TECHNIQUES SOCIALES ET D'ANIMATION,2014-09-01,9999-12-31,,En cours,6022,51,109,913,6030
226,2159,Option de base simple,1 D3 G,1 D3 5 G,2006,LANGUE MODERNE I ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1582,6030
227,2159,Option de base simple,1 D3 G,1 D3 5 G,2007,LANGUE MODERNE I ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1583,6030
228,2159,Option de base simple,1 D3 G,1 D3 5 G,2008,LANGUE MODERNE I NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1584,6030
229,2159,Option de base simple,1 D3 G,1 D3 5 G,2119,LANGUE MODERNE II ALLEMAND,2014-09-01,9999-12-31,,En cours,6023,56,121,1586,6030
230,2159,Option de base simple,1 D3 G,1 D3 5 G,2120,LANGUE MODERNE II ANGLAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1587,6030
231,2159,Option de base simple,1 D3 G,1 D3 5 G,2121,LANGUE MODERNE II NEERLANDAIS,2014-09-01,9999-12-31,,En cours,6023,56,121,1591,6030
