NS_SA_ID,CO_ANNEE_ETUDES,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,1E_SECOND_SELECT,2E_SECOND_SELECT,3E_SECOND_SELECT,4E_SECOND_SELECT ,5E_SECOND_SELECT ,6E_SECOND_SELECT ,7E_SECOND_SELECT ,1E_CONNAIT_CHOIX_3E,1E_OBTENIR_CEB,2E_EXERC_METIER_FIN_SECOND,2E_TMP_PARTIEL_ECOL_ENTREPR,2E_ORIENT_ENSEIGN_GEN,2E_ORIENT_ENSEIGN_TECH_PRO,2E_PAS_CEB,3E_CHANG_OPT_FILIERE,3E_EXERC_METIER_FIN_SECOND,3E_REORIENT_FIN_3E,3E_TMP_PARTIEL_ECOL_ENTREPR,4E_CHANG_OPT_FILIERE,4E_EXERC_METIER_FIN_SECOND,4E_REORIENT_FIN_4E,4E_TMP_PART_ECOL_ENTREP,5E_CONNAIT_DIFF_POSS_SUP,5E_CONNAIT_HECOL_UNIV_PLAIT_M,5E_DECOUV_METIER_MOND_TRAV,6E_CONNAIT_APPORT_7E,6E_CONNAIT_DIFF_BACH_MSTR,6E_CONNAIT_DIFF_HECOL_UNIV,6E_CONNAIT_DIFF_POSS_SUP,6E_CONNAIT_ECOL_OFFRE_7E,6E_CONNAIT_HECOL_UNIV_PLAIT_M,6E_REAL_PROJ_ETRANG_FIN_6E,7E_CONNAIT_DIFF_BACH_MSTR,7E_CONNAIT_DIFF_HECOL_UNIV,7E_CONNAIT_HECOL_UNIV_MAT_M,7E_REAL_PROJ_FIN_7E,PRESA_MDR,PRIM_CONNAIT_ECOL_SECOND,PRIM_CONNAIT_OPT_SRT_ENSEIGN_SECOND,PRIM_INFO_VIE_SECOND,PRIM_TEMOIGN_VIE_SECOND,PRIMAIRE
122,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,1 D2 3 G,primaire_select,prim_connait_ecol_second,,2e_second_select,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
