DGSP_OBJ_ID,NS_ETAB_ID,1E_OBTENIR_CEB
1 D1 1D                  ,910,1e_obtenir_ceb
1 D1 1D                  ,911,1e_obtenir_ceb
1 D1 1D                  ,912,1e_obtenir_ceb
1 D1 1D                  ,920,1e_obtenir_ceb
1 D1 1D                  ,921,1e_obtenir_ceb
1 D1 1D                  ,923,1e_obtenir_ceb
1 D1 1D                  ,926,1e_obtenir_ceb
1 D1 1D                  ,932,1e_obtenir_ceb
1 D1 1D                  ,933,1e_obtenir_ceb
1 D1 1D                  ,934,1e_obtenir_ceb
1 D1 1D                  ,936,1e_obtenir_ceb
1 D1 1D                  ,940,1e_obtenir_ceb
1 D1 1D                  ,941,1e_obtenir_ceb
1 D1 1D                  ,945,1e_obtenir_ceb
1 D1 1D                  ,946,1e_obtenir_ceb
1 D1 1D                  ,950,1e_obtenir_ceb
1 D1 1D                  ,954,1e_obtenir_ceb
1 D1 1D                  ,967,1e_obtenir_ceb
1 D1 1D                  ,980,1e_obtenir_ceb
1 D1 1D                  ,983,1e_obtenir_ceb
1 D1 1D                  ,998,1e_obtenir_ceb
1 D1 1D                  ,999,1e_obtenir_ceb
1 D1 1D                  ,1000,1e_obtenir_ceb
1 D1 1D                  ,1002,1e_obtenir_ceb
1 D1 1D                  ,1004,1e_obtenir_ceb
1 D1 1D                  ,1005,1e_obtenir_ceb
1 D1 1D                  ,1045,1e_obtenir_ceb
1 D1 1D                  ,1046,1e_obtenir_ceb
1 D1 1D                  ,1057,1e_obtenir_ceb
1 D1 1D                  ,1072,1e_obtenir_ceb
1 D1 1D                  ,1073,1e_obtenir_ceb
1 D1 1D                  ,1080,1e_obtenir_ceb
1 D1 1D                  ,1093,1e_obtenir_ceb
1 D1 1D                  ,1106,1e_obtenir_ceb
1 D1 1D                  ,1116,1e_obtenir_ceb
1 D1 1D                  ,1133,1e_obtenir_ceb
1 D1 1D                  ,1134,1e_obtenir_ceb
1 D1 1D                  ,1192,1e_obtenir_ceb
1 D1 1D                  ,1193,1e_obtenir_ceb
1 D1 1D                  ,1194,1e_obtenir_ceb
1 D1 1D                  ,1199,1e_obtenir_ceb
1 D1 1D                  ,1203,1e_obtenir_ceb
1 D1 1D                  ,1205,1e_obtenir_ceb
1 D1 1D                  ,1207,1e_obtenir_ceb
1 D1 1D                  ,1229,1e_obtenir_ceb
1 D1 1D                  ,1230,1e_obtenir_ceb
1 D1 1D                  ,1231,1e_obtenir_ceb
1 D1 1D                  ,1243,1e_obtenir_ceb
1 D1 1D                  ,1250,1e_obtenir_ceb
1 D1 1D                  ,1251,1e_obtenir_ceb
1 D1 1D                  ,1264,1e_obtenir_ceb
1 D1 1D                  ,1265,1e_obtenir_ceb
1 D1 1D                  ,1266,1e_obtenir_ceb
1 D1 1D                  ,1267,1e_obtenir_ceb
1 D1 1D                  ,1269,1e_obtenir_ceb
1 D1 1D                  ,1309,1e_obtenir_ceb
1 D1 1D                  ,1312,1e_obtenir_ceb
1 D1 1D                  ,1336,1e_obtenir_ceb
1 D1 1D                  ,1337,1e_obtenir_ceb
1 D1 1D                  ,1341,1e_obtenir_ceb
1 D1 1D                  ,1342,1e_obtenir_ceb
1 D1 1D                  ,1361,1e_obtenir_ceb
1 D1 1D                  ,1363,1e_obtenir_ceb
1 D1 1D                  ,1371,1e_obtenir_ceb
1 D1 1D                  ,1372,1e_obtenir_ceb
1 D1 1D                  ,1411,1e_obtenir_ceb
1 D1 1D                  ,1414,1e_obtenir_ceb
1 D1 1D                  ,1418,1e_obtenir_ceb
1 D1 1D                  ,1419,1e_obtenir_ceb
1 D1 1D                  ,1429,1e_obtenir_ceb
1 D1 1D                  ,1432,1e_obtenir_ceb
1 D1 1D                  ,1440,1e_obtenir_ceb
1 D1 1D                  ,1441,1e_obtenir_ceb
1 D1 1D                  ,1464,1e_obtenir_ceb
1 D1 1D                  ,1465,1e_obtenir_ceb
1 D1 1D                  ,1468,1e_obtenir_ceb
1 D1 1D                  ,1469,1e_obtenir_ceb
1 D1 1D                  ,1493,1e_obtenir_ceb
1 D1 1D                  ,1494,1e_obtenir_ceb
1 D1 1D                  ,1506,1e_obtenir_ceb
1 D1 1D                  ,1507,1e_obtenir_ceb
1 D1 1D                  ,1508,1e_obtenir_ceb
1 D1 1D                  ,1525,1e_obtenir_ceb
1 D1 1D                  ,1526,1e_obtenir_ceb
1 D1 1D                  ,1538,1e_obtenir_ceb
1 D1 1D                  ,1540,1e_obtenir_ceb
1 D1 1D                  ,1569,1e_obtenir_ceb
1 D1 1D                  ,1570,1e_obtenir_ceb
1 D1 1D                  ,1579,1e_obtenir_ceb
1 D1 1D                  ,1594,1e_obtenir_ceb
1 D1 1D                  ,1595,1e_obtenir_ceb
1 D1 1D                  ,1606,1e_obtenir_ceb
1 D1 1D                  ,1635,1e_obtenir_ceb
1 D1 1D                  ,1636,1e_obtenir_ceb
1 D1 1D                  ,1688,1e_obtenir_ceb
1 D1 1D                  ,1689,1e_obtenir_ceb
1 D1 1D                  ,1695,1e_obtenir_ceb
1 D1 1D                  ,1696,1e_obtenir_ceb
1 D1 1D                  ,1697,1e_obtenir_ceb
1 D1 1D                  ,1698,1e_obtenir_ceb
1 D1 1D                  ,1699,1e_obtenir_ceb
1 D1 1D                  ,1706,1e_obtenir_ceb
1 D1 1D                  ,1708,1e_obtenir_ceb
1 D1 1D                  ,1709,1e_obtenir_ceb
1 D1 1D                  ,1711,1e_obtenir_ceb
1 D1 1D                  ,1735,1e_obtenir_ceb
1 D1 1D                  ,1736,1e_obtenir_ceb
1 D1 1D                  ,1738,1e_obtenir_ceb
1 D1 1D                  ,1751,1e_obtenir_ceb
1 D1 1D                  ,1762,1e_obtenir_ceb
1 D1 1D                  ,1775,1e_obtenir_ceb
1 D1 1D                  ,1777,1e_obtenir_ceb
1 D1 1D                  ,1778,1e_obtenir_ceb
1 D1 1D                  ,1779,1e_obtenir_ceb
1 D1 1D                  ,1780,1e_obtenir_ceb
1 D1 1D                  ,1781,1e_obtenir_ceb
1 D1 1D                  ,1787,1e_obtenir_ceb
1 D1 1D                  ,1792,1e_obtenir_ceb
1 D1 1D                  ,1801,1e_obtenir_ceb
1 D1 1D                  ,1802,1e_obtenir_ceb
1 D1 1D                  ,1826,1e_obtenir_ceb
1 D1 1D                  ,1827,1e_obtenir_ceb
1 D1 1D                  ,1837,1e_obtenir_ceb
1 D1 1D                  ,1839,1e_obtenir_ceb
1 D1 1D                  ,1855,1e_obtenir_ceb
1 D1 1D                  ,1870,1e_obtenir_ceb
1 D1 1D                  ,1881,1e_obtenir_ceb
1 D1 1D                  ,1897,1e_obtenir_ceb
1 D1 1D                  ,1899,1e_obtenir_ceb
