NS_SA_ID,PRIMAIRE_SELECT,PRIM_CONNAIT_ECOL_SECOND,CO_ANNEE_ETUDES
231587,primaire_select,prim_connait_ecol_second,R D3 P 45
231588,primaire_select,prim_connait_ecol_second,R D3 P 45
231598,primaire_select,prim_connait_ecol_second,R D3 P 45
231599,primaire_select,prim_connait_ecol_second,R D3 P 45
231602,primaire_select,prim_connait_ecol_second,R D3 P 45
231603,primaire_select,prim_connait_ecol_second,R D3 P 45
231613,primaire_select,prim_connait_ecol_second,R D3 P 45
231614,primaire_select,prim_connait_ecol_second,R D3 P 45
231623,primaire_select,prim_connait_ecol_second,R D3 P 45
231624,primaire_select,prim_connait_ecol_second,R D3 P 45
231625,primaire_select,prim_connait_ecol_second,R D3 P 45
231626,primaire_select,prim_connait_ecol_second,R D3 P 45
231632,primaire_select,prim_connait_ecol_second,R D3 P 45
231633,primaire_select,prim_connait_ecol_second,R D3 P 45
231658,primaire_select,prim_connait_ecol_second,R D3 P 45
231660,primaire_select,prim_connait_ecol_second,R D3 P 45
231661,primaire_select,prim_connait_ecol_second,R D3 P 45
231670,primaire_select,prim_connait_ecol_second,R D3 P 45
231671,primaire_select,prim_connait_ecol_second,R D3 P 45
231672,primaire_select,prim_connait_ecol_second,R D3 P 45
231673,primaire_select,prim_connait_ecol_second,R D3 P 45
231675,primaire_select,prim_connait_ecol_second,R D3 P 45
231676,primaire_select,prim_connait_ecol_second,R D3 P 45
231678,primaire_select,prim_connait_ecol_second,R D3 P 45
231679,primaire_select,prim_connait_ecol_second,R D3 P 45
231681,primaire_select,prim_connait_ecol_second,R D3 P 45
231682,primaire_select,prim_connait_ecol_second,R D3 P 45
231683,primaire_select,prim_connait_ecol_second,R D3 P 45
231684,primaire_select,prim_connait_ecol_second,R D3 P 45
231686,primaire_select,prim_connait_ecol_second,R D3 P 45
231687,primaire_select,prim_connait_ecol_second,R D3 P 45
231692,primaire_select,prim_connait_ecol_second,R D3 P 45
231694,primaire_select,prim_connait_ecol_second,R D3 P 45
231695,primaire_select,prim_connait_ecol_second,R D3 P 45
231696,primaire_select,prim_connait_ecol_second,R D3 P 45
231698,primaire_select,prim_connait_ecol_second,R D3 P 45
231700,primaire_select,prim_connait_ecol_second,R D3 P 45
231702,primaire_select,prim_connait_ecol_second,R D3 P 45
231703,primaire_select,prim_connait_ecol_second,R D3 7B P
231704,primaire_select,prim_connait_ecol_second,R D3 7B P
231705,primaire_select,prim_connait_ecol_second,R D3 7B P
231706,primaire_select,prim_connait_ecol_second,R D3 7B P
231707,primaire_select,prim_connait_ecol_second,R D3 7B P
231708,primaire_select,prim_connait_ecol_second,R D3 7B P
231709,primaire_select,prim_connait_ecol_second,R D3 7B P
231711,primaire_select,prim_connait_ecol_second,R D3 7B P
231713,primaire_select,prim_connait_ecol_second,R D3 7B P
231715,primaire_select,prim_connait_ecol_second,R D3 7B P
231717,primaire_select,prim_connait_ecol_second,R D3 7B P
231719,primaire_select,prim_connait_ecol_second,R D3 7B P
231721,primaire_select,prim_connait_ecol_second,R D3 7B P
231723,primaire_select,prim_connait_ecol_second,R D3 7B P
231727,primaire_select,prim_connait_ecol_second,R D3 7B P
231728,primaire_select,prim_connait_ecol_second,R D3 7B P
231729,primaire_select,prim_connait_ecol_second,R D3 7B P
231730,primaire_select,prim_connait_ecol_second,R D3 7B P
231731,primaire_select,prim_connait_ecol_second,R D3 7B P
231733,primaire_select,prim_connait_ecol_second,R D3 7B P
231735,primaire_select,prim_connait_ecol_second,R D3 7B P
231737,primaire_select,prim_connait_ecol_second,R D3 7B P
231739,primaire_select,prim_connait_ecol_second,R D3 7B P
231741,primaire_select,prim_connait_ecol_second,R D3 7B P
231743,primaire_select,prim_connait_ecol_second,R D3 7B P
231745,primaire_select,prim_connait_ecol_second,R D3 7B P
231747,primaire_select,prim_connait_ecol_second,R D3 7B P
231749,primaire_select,prim_connait_ecol_second,R D3 7B P
231750,primaire_select,prim_connait_ecol_second,R D3 7B P
231751,primaire_select,prim_connait_ecol_second,R D3 7B P
231753,primaire_select,prim_connait_ecol_second,R D3 7B P
231755,primaire_select,prim_connait_ecol_second,R D3 7B P
231756,primaire_select,prim_connait_ecol_second,R D3 7B P
231757,primaire_select,prim_connait_ecol_second,R D3 7B P
231760,primaire_select,prim_connait_ecol_second,R D3 7B P
231767,primaire_select,prim_connait_ecol_second,R D3 7B P
231777,primaire_select,prim_connait_ecol_second,R D3 7B P
231779,primaire_select,prim_connait_ecol_second,R D3 7B P
231781,primaire_select,prim_connait_ecol_second,R D3 7B P
231783,primaire_select,prim_connait_ecol_second,R D3 7B P
231785,primaire_select,prim_connait_ecol_second,R D3 7B P
231786,primaire_select,prim_connait_ecol_second,R D3 7B P
231787,primaire_select,prim_connait_ecol_second,R D3 7B P
231789,primaire_select,prim_connait_ecol_second,R D3 7B P
231790,primaire_select,prim_connait_ecol_second,R D3 7B P
231791,primaire_select,prim_connait_ecol_second,R D3 7B P
231792,primaire_select,prim_connait_ecol_second,R D3 7B P
231794,primaire_select,prim_connait_ecol_second,R D3 7B P
231796,primaire_select,prim_connait_ecol_second,R D3 7B P
231798,primaire_select,prim_connait_ecol_second,R D3 7B P
231800,primaire_select,prim_connait_ecol_second,R D3 7B P
231802,primaire_select,prim_connait_ecol_second,R D3 7B P
231804,primaire_select,prim_connait_ecol_second,R D3 7B P
231806,primaire_select,prim_connait_ecol_second,R D3 7B P
231807,primaire_select,prim_connait_ecol_second,R D3 7B P
231809,primaire_select,prim_connait_ecol_second,R D3 7B P
231811,primaire_select,prim_connait_ecol_second,R D3 7B P
231813,primaire_select,prim_connait_ecol_second,R D3 7B P
231815,primaire_select,prim_connait_ecol_second,R D3 7B P
231817,primaire_select,prim_connait_ecol_second,R D3 7B P
231819,primaire_select,prim_connait_ecol_second,R D3 7B P
231821,primaire_select,prim_connait_ecol_second,R D3 7B P
231822,primaire_select,prim_connait_ecol_second,R D3 7B P
231823,primaire_select,prim_connait_ecol_second,R D3 7B P
231825,primaire_select,prim_connait_ecol_second,R D3 7B P
231827,primaire_select,prim_connait_ecol_second,R D3 7B P
231829,primaire_select,prim_connait_ecol_second,R D3 7B P
231831,primaire_select,prim_connait_ecol_second,R D3 7B P
231832,primaire_select,prim_connait_ecol_second,R D3 7B P
231836,primaire_select,prim_connait_ecol_second,R D3 7B P
231838,primaire_select,prim_connait_ecol_second,R D3 7B P
231840,primaire_select,prim_connait_ecol_second,R D3 7B P
231845,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231846,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231847,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231848,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231849,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231852,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231854,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231860,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231862,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231863,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231865,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231868,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231869,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231870,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231871,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231873,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231877,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231879,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231881,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231883,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231885,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231887,primaire_select,prim_connait_ecol_second,R D3 7 TQ
231889,primaire_select,prim_connait_ecol_second,R D3 6 TQ
231891,primaire_select,prim_connait_ecol_second,R D3 6 P
231893,primaire_select,prim_connait_ecol_second,R D3 6 P
231895,primaire_select,prim_connait_ecol_second,R D3 6 P
231897,primaire_select,prim_connait_ecol_second,R D3 6 P
231898,primaire_select,prim_connait_ecol_second,R D3 6 P
231900,primaire_select,prim_connait_ecol_second,R D3 6 P
231902,primaire_select,prim_connait_ecol_second,R D3 6 P
231903,primaire_select,prim_connait_ecol_second,R D3 6 P
231904,primaire_select,prim_connait_ecol_second,R D3 6 P
231905,primaire_select,prim_connait_ecol_second,R D3 6 P
231906,primaire_select,prim_connait_ecol_second,R D3 6 P
231909,primaire_select,prim_connait_ecol_second,R D3 6 P
231911,primaire_select,prim_connait_ecol_second,R D3 6 P
231914,primaire_select,prim_connait_ecol_second,R D3 6 P
231916,primaire_select,prim_connait_ecol_second,R D3 6 P
231925,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231926,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231927,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231928,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231931,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231934,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231936,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231937,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231938,primaire_select,prim_connait_ecol_second,R D3 5 TQ
231940,primaire_select,prim_connait_ecol_second,R D3 5 P
231942,primaire_select,prim_connait_ecol_second,R D3 5 P
231944,primaire_select,prim_connait_ecol_second,R D3 5 P
231946,primaire_select,prim_connait_ecol_second,R D3 5 P
231951,primaire_select,prim_connait_ecol_second,R D3 5 P
231953,primaire_select,prim_connait_ecol_second,R D3 5 P
231955,primaire_select,prim_connait_ecol_second,R D3 5 P
231957,primaire_select,prim_connait_ecol_second,R D3 5 P
231962,primaire_select,prim_connait_ecol_second,R D3 5 P
231963,primaire_select,prim_connait_ecol_second,R D3 5 P
231964,primaire_select,prim_connait_ecol_second,R D3 5 P
231965,primaire_select,prim_connait_ecol_second,R D3 5 P
231968,primaire_select,prim_connait_ecol_second,R D3 5 P
231969,primaire_select,prim_connait_ecol_second,R D3 5 P
231971,primaire_select,prim_connait_ecol_second,R D3 5 P
231973,primaire_select,prim_connait_ecol_second,R D3 5 P
231974,primaire_select,prim_connait_ecol_second,R D3 5 P
231976,primaire_select,prim_connait_ecol_second,R D3 5 P
231979,primaire_select,prim_connait_ecol_second,R D3 5 P
231981,primaire_select,prim_connait_ecol_second,R D3 5 P
231983,primaire_select,prim_connait_ecol_second,R D3 5 P
231985,primaire_select,prim_connait_ecol_second,R D3 5 P
231986,primaire_select,prim_connait_ecol_second,R D3 5 P
231987,primaire_select,prim_connait_ecol_second,R D3 5 P
231988,primaire_select,prim_connait_ecol_second,R D3 5 P
231989,primaire_select,prim_connait_ecol_second,R D3 5 P
231990,primaire_select,prim_connait_ecol_second,R D3 5 P
231992,primaire_select,prim_connait_ecol_second,R D3 5 P
231994,primaire_select,prim_connait_ecol_second,R D3 5 P
231996,primaire_select,prim_connait_ecol_second,R D3 5 P
231998,primaire_select,prim_connait_ecol_second,R D3 5 P
232001,primaire_select,prim_connait_ecol_second,R D3 5 P
232006,primaire_select,prim_connait_ecol_second,R D3 5 P
232008,primaire_select,prim_connait_ecol_second,R D3 5 P
232009,primaire_select,prim_connait_ecol_second,R D3 5 P
232010,primaire_select,prim_connait_ecol_second,R D3 5 P
232012,primaire_select,prim_connait_ecol_second,R D3 5 P
232014,primaire_select,prim_connait_ecol_second,R D3 5 P
232023,primaire_select,prim_connait_ecol_second,R D3 5 P
232025,primaire_select,prim_connait_ecol_second,R D3 5 P
232026,primaire_select,prim_connait_ecol_second,R D3 5 P
232028,primaire_select,prim_connait_ecol_second,R D3 5 P
232030,primaire_select,prim_connait_ecol_second,R D3 5 P
232032,primaire_select,prim_connait_ecol_second,R D3 5 P
232034,primaire_select,prim_connait_ecol_second,R D3 5 P
232036,primaire_select,prim_connait_ecol_second,R D3 5 P
232037,primaire_select,prim_connait_ecol_second,R D3 5 P
232038,primaire_select,prim_connait_ecol_second,R D3 5 P
232039,primaire_select,prim_connait_ecol_second,R D3 5 P
232040,primaire_select,prim_connait_ecol_second,R D3 5 P
232041,primaire_select,prim_connait_ecol_second,R D3 5 P
232043,primaire_select,prim_connait_ecol_second,R D3 5 P
232045,primaire_select,prim_connait_ecol_second,R D3 5 P
232046,primaire_select,prim_connait_ecol_second,R D3 5 P
232047,primaire_select,prim_connait_ecol_second,R D3 5 P
232048,primaire_select,prim_connait_ecol_second,R D2 P 45
232049,primaire_select,prim_connait_ecol_second,R D2 P 45
232051,primaire_select,prim_connait_ecol_second,R D2 P 45
232053,primaire_select,prim_connait_ecol_second,R D2 P 45
232056,primaire_select,prim_connait_ecol_second,R D2 P 45
232058,primaire_select,prim_connait_ecol_second,R D2 P 45
232060,primaire_select,prim_connait_ecol_second,R D2 P 45
232062,primaire_select,prim_connait_ecol_second,R D2 P 45
232063,primaire_select,prim_connait_ecol_second,R D2 P 45
232064,primaire_select,prim_connait_ecol_second,R D2 P 45
232066,primaire_select,prim_connait_ecol_second,R D2 P 45
232068,primaire_select,prim_connait_ecol_second,R D2 P 45
232076,primaire_select,prim_connait_ecol_second,R D2 P 45
232077,primaire_select,prim_connait_ecol_second,R D2 P 45
232081,primaire_select,prim_connait_ecol_second,R D2 P 45
232082,primaire_select,prim_connait_ecol_second,R D2 P 45
232083,primaire_select,prim_connait_ecol_second,R D2 P 45
232084,primaire_select,prim_connait_ecol_second,R D2 P 45
232085,primaire_select,prim_connait_ecol_second,R D2 P 45
232086,primaire_select,prim_connait_ecol_second,R D2 P 45
232087,primaire_select,prim_connait_ecol_second,R D2 P 45
232088,primaire_select,prim_connait_ecol_second,R D2 P 45
232089,primaire_select,prim_connait_ecol_second,R D2 P 45
232090,primaire_select,prim_connait_ecol_second,R D2 P 45
232091,primaire_select,prim_connait_ecol_second,R D2 P 45
232092,primaire_select,prim_connait_ecol_second,R D2 P 45
232093,primaire_select,prim_connait_ecol_second,R D2 P 45
232094,primaire_select,prim_connait_ecol_second,R D2 P 45
232096,primaire_select,prim_connait_ecol_second,R D2 P 45
232097,primaire_select,prim_connait_ecol_second,R D2 P 45
232098,primaire_select,prim_connait_ecol_second,R D2 P 45
232099,primaire_select,prim_connait_ecol_second,R D2 P 45
232100,primaire_select,prim_connait_ecol_second,R D2 P 45
232102,primaire_select,prim_connait_ecol_second,R D2 P 45
232103,primaire_select,prim_connait_ecol_second,R D2 P 45
232104,primaire_select,prim_connait_ecol_second,R D2 P 45
232105,primaire_select,prim_connait_ecol_second,R D2 P 45
232106,primaire_select,prim_connait_ecol_second,R D2 P 45
232107,primaire_select,prim_connait_ecol_second,R D2 P 45
232108,primaire_select,prim_connait_ecol_second,R D2 P 45
232109,primaire_select,prim_connait_ecol_second,R D2 P 45
232110,primaire_select,prim_connait_ecol_second,R D2 P 45
232112,primaire_select,prim_connait_ecol_second,R D2 P 45
232113,primaire_select,prim_connait_ecol_second,R D2 P 45
232114,primaire_select,prim_connait_ecol_second,R D2 P 45
232115,primaire_select,prim_connait_ecol_second,R D2 P 45
232116,primaire_select,prim_connait_ecol_second,R D2 P 45
232117,primaire_select,prim_connait_ecol_second,R D2 P 45
232118,primaire_select,prim_connait_ecol_second,R D2 P 45
232119,primaire_select,prim_connait_ecol_second,R D2 P 45
232121,primaire_select,prim_connait_ecol_second,R D2 P 45
232122,primaire_select,prim_connait_ecol_second,R D2 P 45
232123,primaire_select,prim_connait_ecol_second,R D2 P 45
232124,primaire_select,prim_connait_ecol_second,R D2 P 45
232125,primaire_select,prim_connait_ecol_second,R D2 P 45
232126,primaire_select,prim_connait_ecol_second,R D2 P 45
232130,primaire_select,prim_connait_ecol_second,R D2 P 45
232131,primaire_select,prim_connait_ecol_second,R D2 P 45
232132,primaire_select,prim_connait_ecol_second,R D2 P 45
232133,primaire_select,prim_connait_ecol_second,R D2 P 45
232134,primaire_select,prim_connait_ecol_second,R D2 P 45
232135,primaire_select,prim_connait_ecol_second,R D2 P 45
232136,primaire_select,prim_connait_ecol_second,R D2 P 45
232137,primaire_select,prim_connait_ecol_second,R D2 P 45
232139,primaire_select,prim_connait_ecol_second,R D2 P 45
232140,primaire_select,prim_connait_ecol_second,R D2 P 45
232143,primaire_select,prim_connait_ecol_second,R D2 P 45
232145,primaire_select,prim_connait_ecol_second,R D2 P 45
232148,primaire_select,prim_connait_ecol_second,R D2 P 45
232149,primaire_select,prim_connait_ecol_second,R D2 P 45
232150,primaire_select,prim_connait_ecol_second,R D2 P 45
232151,primaire_select,prim_connait_ecol_second,R D2 P 45
232153,primaire_select,prim_connait_ecol_second,R D2 P 45
232154,primaire_select,prim_connait_ecol_second,R D2 P 45
232155,primaire_select,prim_connait_ecol_second,R D2 P 45
232156,primaire_select,prim_connait_ecol_second,R D2 P 45
232158,primaire_select,prim_connait_ecol_second,R D2 P 45
232159,primaire_select,prim_connait_ecol_second,R D2 P 45
232160,primaire_select,prim_connait_ecol_second,R D2 P 45
232161,primaire_select,prim_connait_ecol_second,R D2 P 45
232162,primaire_select,prim_connait_ecol_second,R D2 P 45
232163,primaire_select,prim_connait_ecol_second,R D2 4 P
232174,primaire_select,prim_connait_ecol_second,R D2 4 P
232175,primaire_select,prim_connait_ecol_second,R D2 4 P
232176,primaire_select,prim_connait_ecol_second,R D2 4 P
232177,primaire_select,prim_connait_ecol_second,R D2 4 P
232178,primaire_select,prim_connait_ecol_second,R D2 4 P
232184,primaire_select,prim_connait_ecol_second,R D2 4 P
232185,primaire_select,prim_connait_ecol_second,R D2 4 P
232186,primaire_select,prim_connait_ecol_second,R D2 4 P
232187,primaire_select,prim_connait_ecol_second,R D2 4 P
232188,primaire_select,prim_connait_ecol_second,R D2 4 P
232191,primaire_select,prim_connait_ecol_second,R D2 4 P
232193,primaire_select,prim_connait_ecol_second,R D2 4 P
232195,primaire_select,prim_connait_ecol_second,R D2 4 P
232199,primaire_select,prim_connait_ecol_second,R D2 4 P
232200,primaire_select,prim_connait_ecol_second,R D2 4 P
232206,primaire_select,prim_connait_ecol_second,R D2 3 P
232209,primaire_select,prim_connait_ecol_second,R D2 3 P
232212,primaire_select,prim_connait_ecol_second,R D2 3 P
232213,primaire_select,prim_connait_ecol_second,R D2 3 P
232214,primaire_select,prim_connait_ecol_second,R D2 3 P
232215,primaire_select,prim_connait_ecol_second,R D2 3 P
232216,primaire_select,prim_connait_ecol_second,R D2 3 P
232217,primaire_select,prim_connait_ecol_second,R D2 3 P
232218,primaire_select,prim_connait_ecol_second,R D2 3 P
232219,primaire_select,prim_connait_ecol_second,R D2 3 P
232223,primaire_select,prim_connait_ecol_second,R D2 3 P
232224,primaire_select,prim_connait_ecol_second,R D2 3 P
232225,primaire_select,prim_connait_ecol_second,R D2 3 P
232226,primaire_select,prim_connait_ecol_second,R D2 3 P
232227,primaire_select,prim_connait_ecol_second,R D2 3 P
232229,primaire_select,prim_connait_ecol_second,R D2 3 P
232230,primaire_select,prim_connait_ecol_second,R D2 3 P
232231,primaire_select,prim_connait_ecol_second,R D2 3 P
232232,primaire_select,prim_connait_ecol_second,R D2 3 P
232233,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232234,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232235,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232237,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232238,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232239,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232240,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232241,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232242,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232243,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232244,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232246,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232247,primaire_select,prim_connait_ecol_second,1 DQ 6 TQ
232248,primaire_select,prim_connait_ecol_second,1 DQ 6 P
232249,primaire_select,prim_connait_ecol_second,1 DQ 6 P
232250,primaire_select,prim_connait_ecol_second,1 DQ 6 P
232251,primaire_select,prim_connait_ecol_second,1 DQ 6 P
232256,primaire_select,prim_connait_ecol_second,1 DQ 6 P
232257,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232258,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
232259,primaire_select,prim_connait_ecol_second,1 DQ 5 TQ
