"NS_ETAB_ID","CO_ETUDE_ID","TE_LIBL_CRT","CO_UNI_ID","DT_DEBUT","DT_FIN"
2806,TT22 ,"1 D2 4 TT                ","112",2018-09-01,9999-12-31
2806,TT22R,"1 D2 4R TT               ","112",2018-09-01,9999-12-31
2806,TT31 ,"1 D3 5 TT                ","112",2018-09-01,9999-12-31
2806,TT32 ,"1 D3 6 TT                ","112",2018-09-01,9999-12-31
2807,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
2807,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
2807,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
2807,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
2807,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
2807,GT21 ,"1 D2 3 G                 ","112",2018-09-01,9999-12-31
2807,GT22 ,"1 D2 4 G                 ","112",2018-09-01,9999-12-31
2807,GT31 ,"1 D3 5 G                 ","112",2018-09-01,9999-12-31
2807,GT32 ,"1 D3 6 G                 ","112",2018-09-01,9999-12-31
2807,GT33L,"1 D3 7L G                ","112",2014-09-01,9999-12-31
2807,GT33M,"1 D3 7M G                ","112",2014-09-01,9999-12-31
2807,GT33P,"1 D3 7PES                ","112",2014-09-01,9999-12-31
2807,GT33S,"1 D3 7S G                ","112",2014-09-01,9999-12-31
2808,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
2808,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
2808,GT11S,"1 D1 1S                  ","112",2014-09-01,9999-12-31
2808,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
2808,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
2808,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
2808,PC4  ,"1 DQ 4 P                 ","112",2018-09-01,9999-12-31
2808,PC5  ,"1 DQ 5 P                 ","112",2019-09-01,9999-12-31
2808,PC6  ,"1 DQ 6 P                 ","112",2020-09-01,9999-12-31
2808,PQI24,R D2 P 45                ,"119",2018-09-01,9999-12-31
2808,PQI3 ,R D2 3 P                 ,"119",2014-09-01,9999-12-31
2808,PQI34,R D3 P 45                ,"119",2018-09-01,9999-12-31
2808,PQI4 ,R D2 4 P                 ,"119",2014-09-01,9999-12-31
2808,PQSC ,R D3 3 C P               ,"119",2014-09-01,9999-12-31
2808,PQS1 ,R D3 5 P                 ,"119",2014-09-01,9999-12-31
2808,PQS2 ,R D3 6 P                 ,"119",2014-09-01,9999-12-31
2808,PQS3 ,R D3 7B P                ,"119",2018-09-01,9999-12-31
2808,PQ2CC,"1 DQ C2D P               ","112",2019-09-01,9999-12-31
2808,PQ21 ,"1 D2 3 P                 ","112",2014-09-01,9999-12-31
2808,PQ21 ,"1 D2 3 P                 ","112",2018-09-01,9999-12-31
2808,PQ22 ,"1 D2 4 P                 ","112",2014-09-01,9999-12-31
2808,PQ22 ,"1 D2 4 P                 ","112",2018-09-01,9999-12-31
2808,PQ3C ,"1 D3 3C P                ","112",2014-09-01,9999-12-31
2808,PQ31 ,"1 D3 5 P                 ","112",2014-09-01,9999-12-31
2808,PQ31 ,"1 D3 5 P                 ","112",2018-09-01,9999-12-31
2808,PQ32 ,"1 D3 6 P                 ","112",2014-09-01,9999-12-31
2808,PQ32 ,"1 D3 6 P                 ","112",2018-09-01,9999-12-31
2808,PQ33B,"1 D3 7B P                ","112",2014-09-01,9999-12-31
2808,PQ33B,"1 D3 7B P                ","112",2018-09-01,9999-12-31
2808,PQ33C,"1 D3 7C P                ","112",2014-09-01,9999-12-31
2808,TQC4 ,"1 DQ 4 TQ                ","112",2018-09-01,9999-12-31
2808,TQ21 ,"1 D2 3 TQ                ","112",2014-09-01,9999-12-31
2808,TQ21 ,"1 D2 3 TQ                ","112",2018-09-01,9999-12-31
2808,TQ22 ,"1 D2 4 TQ                ","112",2014-09-01,9999-12-31
2808,TQ22 ,"1 D2 4 TQ                ","112",2018-09-01,9999-12-31
2808,TQ22R,"1 D2 4R TQ               ","112",2014-09-01,9999-12-31
2808,TQ3C ,"1 D3 3C TQ               ","112",2014-09-01,9999-12-31
2808,TQ31 ,"1 D3 5 TQ                ","112",2014-09-01,9999-12-31
2808,TQ31 ,"1 D3 5 TQ                ","112",2018-09-01,9999-12-31
2808,TQ32 ,"1 D3 6 TQ                ","112",2014-09-01,9999-12-31
2808,TQ32 ,"1 D3 6 TQ                ","112",2018-09-01,9999-12-31
2808,TQ33 ,"1 D3 7 TQ                ","112",2014-09-01,9999-12-31
2808,TQ33 ,"1 D3 7 TQ                ","112",2018-09-01,9999-12-31
2808,TT21 ,"1 D2 3 TT                ","112",2014-09-01,9999-12-31
2808,TT21 ,"1 D2 3 TT                ","112",2018-09-01,9999-12-31
2808,TT22 ,"1 D2 4 TT                ","112",2014-09-01,9999-12-31
2808,TT22 ,"1 D2 4 TT                ","112",2018-09-01,9999-12-31
2808,TT22R,"1 D2 4R TT               ","112",2014-09-01,9999-12-31
2808,TT31 ,"1 D3 5 TT                ","112",2014-09-01,9999-12-31
2808,TT31 ,"1 D3 5 TT                ","112",2018-09-01,9999-12-31
2808,TT32 ,"1 D3 6 TT                ","112",2014-09-01,9999-12-31
2808,TT32 ,"1 D3 6 TT                ","112",2018-09-01,9999-12-31
2809,GT11C,"1 D1 1C                  ","112",2014-09-01,9999-12-31
2809,GT11D,"1 D1 1D                  ","112",2014-09-01,9999-12-31
2809,GT12C,"1 D1 2C                  ","112",2014-09-01,9999-12-31
2809,GT12S,"1 D1 2S                  ","112",2014-09-01,9999-12-31
2809,GT2D ,"1 D1 2D                  ","112",2014-09-01,9999-12-31
2809,PC4  ,"1 DQ 4 P                 ","112",2018-09-01,9999-12-31
2809,PC4C ,R DQ 4 P                 ,"119",2020-09-01,9999-12-31
2809,PC5  ,"1 DQ 5 P                 ","112",2019-09-01,9999-12-31
2809,PC5C ,R DQ 5 P                 ,"119",2020-09-01,9999-12-31
2809,PC6  ,"1 DQ 6 P                 ","112",2020-09-01,9999-12-31
2809,PC6C ,R DQ 6 P                 ,"119",2020-09-01,9999-12-31
2809,PQD2C,R DQ C2D P               ,"119",2020-09-01,9999-12-31
2809,PQI24,R D2 P 45                ,"119",2017-09-01,9999-12-31
2809,PQI3 ,R D2 3 P                 ,"119",2017-09-01,9999-12-31
2809,PQI34,R D3 P 45                ,"119",2017-09-01,9999-12-31
2809,PQI4 ,R D2 4 P                 ,"119",2017-09-01,9999-12-31
2809,PQSC ,R D3 3 C P               ,"119",2017-09-01,9999-12-31
2809,PQS1 ,R D3 5 P                 ,"119",2017-09-01,9999-12-31
2809,PQS2 ,R D3 6 P                 ,"119",2017-09-01,9999-12-31
2809,PQS3 ,R D3 7B P                ,"119",2017-09-01,9999-12-31
2809,PQ2CC,"1 DQ C2D P               ","112",2019-09-01,9999-12-31
2809,PQ21 ,"1 D2 3 P                 ","112",2018-09-01,9999-12-31
2809,PQ22 ,"1 D2 4 P                 ","112",2018-09-01,9999-12-31
2809,PQ3C ,"1 D3 3C P                ","112",2014-09-01,9999-12-31
2809,PQ31 ,"1 D3 5 P                 ","112",2018-09-01,9999-12-31
2809,PQ32 ,"1 D3 6 P                 ","112",2018-09-01,9999-12-31
2809,PQ33B,"1 D3 7B P                ","112",2018-09-01,9999-12-31
2809,PQ33C,"1 D3 7C P                ","112",2014-09-01,9999-12-31
2809,TQC4 ,"1 DQ 4 TQ                ","112",2018-09-01,9999-12-31
2809,TQC4C,R DQ 4 TQ                ,"119",2020-09-01,9999-12-31
2809,TQC5C,R DQ 5 TQ                ,"119",2020-09-01,9999-12-31
2809,TQC6C,R DQ 6 TQ                ,"119",2020-09-01,9999-12-31
2809,TQD2C,R DQ C2D TQ              ,"119",2020-09-01,9999-12-31
2809,TQS1 ,R D3 5 TQ                ,"119",2017-09-01,9999-12-31
2809,TQS2 ,R D3 6 TQ                ,"119",2017-09-01,9999-12-31
2809,TQS3 ,R D3 7 TQ                ,"119",2017-09-01,9999-12-31
2809,TQ21 ,"1 D2 3 TQ                ","112",2018-09-01,9999-12-31
2809,TQ22 ,"1 D2 4 TQ                ","112",2018-09-01,9999-12-31
2809,TQ22R,"1 D2 4R TQ               ","112",2018-09-01,9999-12-31
2809,TQ3C ,"1 D3 3C TQ               ","112",2014-09-01,9999-12-31
2809,TQ31 ,"1 D3 5 TQ                ","112",2018-09-01,9999-12-31
2809,TQ32 ,"1 D3 6 TQ                ","112",2018-09-01,9999-12-31
2809,TQ33 ,"1 D3 7 TQ                ","112",2018-09-01,9999-12-31
2809,TT21 ,"1 D2 3 TT                ","112",2018-09-01,9999-12-31
2809,TT22 ,"1 D2 4 TT                ","112",2018-09-01,9999-12-31
2809,TT22R,"1 D2 4R TT               ","112",2014-09-01,9999-12-31
2823,GT11C,"1 D1 1C                  ","112",2014-09-01,2017-08-31
2823,GT11S,"1 D1 1S                  ","112",2014-09-01,2017-08-31
2823,GT12C,"1 D1 2C                  ","112",2014-09-01,2017-08-31
2823,GT12S,"1 D1 2S                  ","112",2014-09-01,2017-08-31
2823,GT21 ,"1 D2 3 G                 ","112",2014-09-01,2017-08-31
